umls_cui,drug_Raw_Name,src_nm,umls_sem_typ1,umls_sem_typ2,umls_sem_typ3
C0218405,2-(2;3-Dicarboxycyclopropyl)Glycine,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0045287,2;2-Bis(4-Glycidyloxyphenyl)Propane,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0093504,2-Nitro-7-Methoxynaphtho(2-1b)Furan,MeSH_PA,Hazardous or Poisonous Substance,Organic Chemical,
C0046874,3;3';4';5-Tetrachlorosalicylanilide,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0048806,5'-Deoxy-5'-S-Isobutylthioadenosine,MeSH_PA,Pharmacologic Substance,Nucleic Acid; Nucleoside; or Nucleotide,
C0615748,5-Methoxy-N;N-Diisopropyltryptamine,ChEBI,Pharmacologic Substance,Organic Chemical,
C1432926,6'';7''-Dihydro-5';5'''-Dicapsaicin,ChEBI,Organic Chemical,,
C0213389,Alpha-Methyl-4-Carboxyphenylglycine,MeSH_PA,Pharmacologic Substance,Amino Acid; Peptide; or Protein,
C0051414,Alpha-Methylene Gamma-Butyrolactone,ChEBI,Immunologic Factor,Organic Chemical,
C0058642,Dodecyloctaethyleneglycol Monoether,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0063196,Hydroxysuccinimidyl-4-Azidobenzoate,MeSH_PA,Indicator; Reagent; or Diagnostic Aid,Organic Chemical,
C0536663,Methyl Arachidonylfluorophosphonate,MeSH_PA,Pharmacologic Substance,Organophosphorus Compound,
C0067419,N-(1-Anilinonaphthalyl)-4-Maleimide,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0067427,N-(1-Methyl-2-Phenylethyl)Adenosine,MeSH_PA,Nucleic Acid; Nucleoside; or Nucleotide,,
C0081489,O-(Chloroacetylcarbamoyl)Fumagillol,MeSH_PA,Antibiotic,Organic Chemical,
C0092581,2-Aminomethyl-4-T-Butyl-6-Iodophenol,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0051076,Alanyl-Prolyl-Glycyl-Tryptophanamide,MeSH_PA,Neuroreactive Substance or Biogenic Amine,Amino Acid; Peptide; or Protein,
C0108443,Carboxy-Seminaphthorhodaminefluoride,MeSH_PA,Indicator; Reagent; or Diagnostic Aid,Organic Chemical,
C0064543,L-Glutamic Acid-L-Tyrosine Copolymer,MeSH_PA,Pharmacologic Substance,Amino Acid; Peptide; or Protein,
C0208248,Mefloquine-Sulfadoxine-Pyrimethamine,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0536682,N-(3-(Aminomethyl)Benzyl)Acetamidine,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0131126,N-Gamma-Glutamylcysteine Ethyl Ester,MeSH_PA,Pharmacologic Substance,Amino Acid; Peptide; or Protein,
C0068087,N-Methyl-D-Glucamine Dithiocarbamate,MeSH_PA,Indicator; Reagent; or Diagnostic Aid,Organic Chemical,
C0044180,1-(3-Trifluoromethylphenyl)Piperazine,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0044279,1-Aminocyclopropane-1-Carboxylic Acid,MeSH_PA,Amino Acid; Peptide; or Protein,,
C0045368,2;3-Dihydro-1h-Imidazo(1;2-B)Pyrazole,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0046901,3;3'-Dipropyl-2;2'-Thiadicarbocyanine,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0291374,4;7beta-Dimethyl-4-Azacholestan-3-One,MeSH_PA,Steroid,,
C0676471,5'-(4-Fluorosulfonylbenzoyl)Adenosine,MeSH_PA,Indicator; Reagent; or Diagnostic Aid,Nucleic Acid; Nucleoside; or Nucleotide,
C0049894,7-Hydroxy-2-N;N-Dipropylaminotetralin,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0054393,C.I. Fluorescent Brightening Agent 28,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0259423,Carbobenzoxy-Leucyl-Leucyl-Norvalinal,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0756237,Dimethoxy-4-Indophenyl-2-Aminopropane,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0061708,Glycyl-Arginyl-Glycyl-Aspartyl-Serine,MeSH_PA,Pharmacologic Substance,Amino Acid; Peptide; or Protein,
C0668026,(2-Sulfonatoethyl)Methanethiosulfonate,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0753884,(5;6-Dimethoxyindan-2-Yl)Dipropylamine,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0044093,1-(1-Glycero)Dodeca-1;3;5;7;9-Pentaene,MeSH_PA,Organic Chemical,,
C0043960,1;3-Dipropyl-8-(4-Sulfophenyl)Xanthine,MeSH_PA,Organic Chemical,,
C0045280,2;2;5;7;8-Pentamethyl-1-Hydroxychroman,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0045341,2;3-Bis(3'-Hydroxybenzyl)Butyrolactone,MeSH_PA,Pharmacologic Substance,Hormone,
C0047115,3-(2;2;2-Trimethylhydrazine)Propionate,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0258258,3-(2;4-Dimethoxybenzylidene)Anabaseine,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0048528,4-Methylumbelliferyl-Galactopyranoside,MeSH_PA,Indicator; Reagent; or Diagnostic Aid,Organic Chemical,
C0098037,5-(4-Acetamidophenyl)Pyrazin-2(1h)-One,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0049104,5-Chloro-2-Methyl-4-Isothiazolin-3-One,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0049643,6-Methoxy-N-(3-Sulfopropyl)Quinolinium,MeSH_PA,Indicator; Reagent; or Diagnostic Aid,Organic Chemical,
C1451927,6-O-Methyl-2-Deprenylrheediaxanthone B,ChEBI,Organic Chemical,,
C0099550,7;8-(Methylenedioxy)-14-Hydroxyberbane,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0050079,8-Hydroxy-2-(Di-N-Propylamino)Tetralin,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0101197,Acetylphenylalanyl-Prolyl-Boroarginine,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0949300,D-Ala(2);Mephe(4);Met(0)-Ol-Enkephalin,MeSH_PA,Pharmacologic Substance,Amino Acid; Peptide; or Protein,
C0067578,N-(Deoxyguanosin-8-Yl)-2-Aminofluorene,MeSH_PA,Indicator; Reagent; or Diagnostic Aid,Nucleic Acid; Nucleoside; or Nucleotide,
C0212361,(3-Aminopropyl)(N-Butyl)Phosphinic Acid,MeSH_PA,Pharmacologic Substance,Organophosphorus Compound,
C0166128,1;3-Dipropyl-8-(3-Noradamantyl)Xanthine,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0044430,1-Methyl-1;2;3;4-Tetrahydroisoquinoline,MeSH_PA,Organic Chemical,,
C0045826,2-Amino-3-Methylimidazo(4;5-F)Quinoline,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0077414,3-Amino-1-Methyl-5h-Pyrido(4;3-B)Indole,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0047204,3-Amino-2-Hydroxy-4-Phenylbutanoic Acid,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0047536,3-Maleimidobenzoyl N-Hydroxysuccinimide,MeSH_PA,Indicator; Reagent; or Diagnostic Aid,Organic Chemical,
C0047895,4-(2-Aminoethyl)Benzenesulfonylfluoride,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0049887,7-Fluoro-4-Nitrobenzo-2-Oxa-1;3-Diazole,MeSH_PA,Indicator; Reagent; or Diagnostic Aid,Organic Chemical,
C0388991,Acetyl-Aspartyl-Glutamyl-Valyl-Aspartal,MeSH_PA,Amino Acid; Peptide; or Protein,,
C0067510,N-(4-(2-Benzimidazolyl)Phenyl)Maleimide,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0068065,N-Isopropyl-N-Phenyl-4-Phenylenediamine,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0083986,Perfluoro-N-Methyldecahydroisoquinoline,ChEBI,Organic Chemical,,
C0077580,Tyrosyl-Arginyl-Phenylalanyl-Lysinamide,MeSH_PA,Pharmacologic Substance,Amino Acid; Peptide; or Protein,
C0216949,Tyrosyl-Isoleucyl-Glycyl-Seryl-Arginine,MeSH_PA,Pharmacologic Substance,Amino Acid; Peptide; or Protein,
C0043599,(3;4-Dihydroxyphenylamino)-2-Imidazoline,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0088835,1-(4-Carboxyphenyl)-3;3-Dimethyltriazene,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0248424,1;1-Diethyl-2-Hydroxy-2-Nitrosohydrazine,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0167369,1;4-Phenylenebis(Methylene)Selenocyanate,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0088478,1;6-Bis(Cyclohexyloximinocarbonyl)Hexane,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0045340,2;3-Bis(3'-Hydroxybenzyl)Butane-1;4-Diol,MeSH_PA,Steroid,,
C0045796,2-Acetyl-4(5)-Tetrahydroxybutylimidazole,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0218593,4-Amidinoindan-1-One 2'-Amidinohydrazone,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0048408,4-Iodo-2;5-Dimethoxyphenylisopropylamine,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0146177,5-(Tetradecyloxy)-2-Furancarboxylic Acid,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0049150,5-Dimethylaminonaphthalene-1-Sulfonamide,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0292300,5-Hydroxy-7;2';4';5'-Tetramethoxyflavone,ChEBI,Pharmacologic Substance,Organic Chemical,
C0050001,8-((4-Chlorophenyl)Thio)Cyclic-3';5'-Amp,MeSH_PA,Pharmacologic Substance,Nucleic Acid; Nucleoside; or Nucleotide,
C0164985,8-((4-Chlorophenyl)Thio)Cyclic-3';5'-Gmp,MeSH_PA,Nucleic Acid; Nucleoside; or Nucleotide,,
C1259156,Colgate Simply White Clear Whitening Gel,MeSH_PA,Biomedical or Dental Material,,
C0063991,Isoleucyl-Prolyl-Arginine-4-Nitroanilide,MeSH_PA,Pharmacologic Substance,Amino Acid; Peptide; or Protein,
C0131076,N-Ethyl-5-Phenylisoxazolium-3'-Sulfonate,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0965649,2';6'-Dihydroxy-4'-Methoxydihydrochalcone,ChEBI,Biologically Active Substance,Organic Chemical,
C0093669,2-Phenylpyrazolo(4;3-C)Quinolin-3(5h)-One,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0209923,3-(Cis-2;6-Dimethylpiperidino)Sydnonimine,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C2715898,5-Bromo-8-Methoxy-1-Methyl-Beta-Carboline,ChEBI,Organic Chemical,,
C2935309,5-Hydroxy-2-Methylchromone-7-O-Rutinoside,ChEBI,Pharmacologic Substance,Carbohydrate,
C0049951,7-Nitrobenz-2-Oxa-1;3-Diazole-Phallacidin,MeSH_PA,Indicator; Reagent; or Diagnostic Aid,Organic Chemical,
C0050021,8-Amino-1;3;6-Naphthalenetrisulfonic Acid,MeSH_PA,Indicator; Reagent; or Diagnostic Aid,Organic Chemical,
C0069894,P(1);P(5)-Di(Adenosine-5'-)Pentaphosphate,MeSH_PA,Pharmacologic Substance,Nucleic Acid; Nucleoside; or Nucleotide,
C0043843,1;2-Dipalmitoyl-3-Phosphatidylethanolamine,MeSH_PA,Pharmacologic Substance,Lipid,
C0045694,2-(3;4-Dimethoxyphenyl)-3-Fluoroallylamine,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0045733,2-(4-Toluidino)-6-Naphthalenesulfonic Acid,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0045465,2;4-Diamino-5-Adamantyl-6-Methylpyrimidine,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C3252491,3';4';5-Trihydroxy-3;6;7-Trimethoxyflavone,ChEBI,Organic Chemical,,
C0046793,3'-Azido-3'-Deoxythymidine 5'-Triphosphate,MeSH_PA,Pharmacologic Substance,Nucleic Acid; Nucleoside; or Nucleotide,
C1176304,4;4-Difluoro-4-Bora-3a;4a-Diaza-S-Indacene,MeSH_PA,Indicator; Reagent; or Diagnostic Aid,Organic Chemical,
C0048255,4-Diphenylacetoxy-1;1-Dimethylpiperidinium,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0099562,7;8-Didemethyl-8-Hydroxy-5-Deazariboflavin,ChEBI,Organic Chemical,,
C0099850,7-Hydroxy-6-Methyl-8-(1-D-Ribityl)Lumazine,ChEBI,Pharmacologic Substance,Organic Chemical,
C0050163,9-((2;3-Dihydroxy-1-Propoxy)Methyl)Guanine,MeSH_PA,Pharmacologic Substance,Nucleic Acid; Nucleoside; or Nucleotide,
C0164183,Methoxyethylene-Maleic Anhydride Copolymer,MeSH_PA,Organic Chemical,,
C0067456,N-(2-Aminoethyl)-5-Isoquinolinesulfonamide,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0380770,1h-(1;2;4)Oxadiazolo(4;3-A)Quinoxalin-1-One,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0960602,1r;4s;6r-1;4-Endoperoxy-Bisabola-2;10-Diene,ChEBI,Pharmacologic Substance,Organic Chemical,
C0045819,2-Amino-3;4-Dimethylimidazo(4;5-F)Quinoline,MeSH_PA,Hazardous or Poisonous Substance,Organic Chemical,
C0077413,3-Amino-1;4-Dimethyl-5h-Pyrido(4;3-B)Indole,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0047916,4-(4-Diethylaminostyryl)-N-Methylpyridinium,MeSH_PA,Indicator; Reagent; or Diagnostic Aid,Organic Chemical,
C0096801,4-Bromo-2;7-Dimethoxy-3h-Phenothiazin-3-One,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0048476,4-Methyl-4-Aza-3-Oxopregnane-20-Carboxylate,MeSH_PA,Pharmacologic Substance,Steroid,
C0950600,5-(2-Formyl-3-Hydroxyphenoxy)Pentanoic Acid,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0049081,5-Bromo-4-Chloro-3-Indolyl Beta-Galactoside,MeSH_PA,Carbohydrate,,
C0049330,5-Nitro-2-(3-Phenylpropylamino)Benzoic Acid,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0099559,7;8-Dichloro-1;2;3;4-Tetrahydroisoquinoline,MeSH_PA,Organic Chemical,,
C0049891,7-Fluorobenzo-2-Oxa-1;3-Diazole-4-Sulfonate,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0107919,C6-(N1-Methyl-1;2;3-Trazolylmethylene)Penem,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0071599,Polylactic Acid-Polyglycolic Acid Copolymer,MeSH_PA,Biomedical or Dental Material,Organic Chemical,
C0072141,Prolyl-Phenylalanyl-Arginine-4-Nitroanilide,MeSH_PA,Amino Acid; Peptide; or Protein,,
C0088887,1-(5-Hydroxy-5-Methylhexyl)-3-Methylxanthine,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0088100,1;2-Dioleoyloxy-3-(Trimethylammonium)Propane,MeSH_PA,Indicator; Reagent; or Diagnostic Aid,Organic Chemical,
C0000097,1-Methyl-4-Phenyl-1;2;3;6-Tetrahydropyridine,ChEBI,Hazardous or Poisonous Substance,Organic Chemical,
C0298857,2;2'-(Hydroxynitrosohydrazono)Bis-Ethanamine,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0046905,3;3'-Dithiobis(Sulfosuccinimidyl Propionate),MeSH_PA,Pharmacologic Substance,Organic Chemical,
C1958132,3-Amino-1-(1-Boronic-Ethyl)Pyrrolidine-2-One,MeSH_PA,Organic Chemical,,
C0098525,5-Methoxy-1-Methyl-2-(N-Propylamino)Tetralin,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0099263,6-Isopropoxy-9-Oxoxanthene-2-Carboxylic Acid,MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0059811,Ethylene Glycolylbis(Succinimidyl Succinate),MeSH_PA,Pharmacologic Substance,Organic Chemical,
C0082715,Glucosaminylmuramyl-2-Alanine-D-Isoglutamine,MeSH_PA,Biologically Active Substance,Amino Acid; Peptide; or Protein,
C0218380,N-((1s;Trans)-2-Hydroxycyclopentyl)Adenosine,MeSH_PA,Pharmacologic Substance,Nucleic Acid; Nucleoside; or Nucleotide,
C0068179,N-Nitroso(2-Hydroxypropyl)(2-Oxopropyl)Amine,MeSH_PA,Hazardous or Poisonous Substance,Organic Chemical,
