und_umls_cuii,ind_umls_pt,ind_umls_sem_typ1
C0004096,Asthma,Disease or Syndrome
C1371299,Bronchodilation [Pe],Organ or Tissue Function
C0035204,Respiration Disorders,Disease or Syndrome
C1516456,Chemically Induced Neurotoxicity,Injury or Poisoning
C2258748,Dipeptidyl-Peptidase Iv Activity,Molecular Function
C0020456,Hyperglycemia,Disease or Syndrome
C1152751,Prostaglandin Receptor Activity,Molecular Function
C0544652,Beta-Adrenergic Receptor Function,Organ or Tissue Function
C0525025,Photoaffinity Labels,Indicator; Reagent; or Diagnostic Aid
C3179301,Anesthetic Effect,Physiologic Function
C1153433,Calcium Channel Activity,Molecular Function
C1519624,Transmembrane Transport,Cell Function
C0026255,Mitosis,Cell Function
C1156032,Microtubule Polymerization Process,Cell Function
C0751968,Enzyme Activators,Pharmacologic Substance
C0002073,Alkylating Agents,Pharmacologic Substance
C0041227,Trypanosomiasis,Disease or Syndrome
C0427970,Beta-Lactamase Activity,Molecular Function
C0597095,Nucleic Acid Biosynthesis,Molecular Function
C2257391,Reverse Transcriptase Activity,Genetic Function
C2257146,Dna Topoisomerase Type Ii Activity,Genetic Function
C1150386,Dna Topoisomerase Activity,Genetic Function
C1152738,Histamine Receptor Activity,Molecular Function
C1149831,Cholinesterase Activity,Molecular Function
C0036323,Schistosomiasis,Disease or Syndrome
C2261439,Fatty Acid Cyclooxygenase Activity,Molecular Function
C3179243,Parasympathomimetic Effect,Physiologic Function
C1148774,Androgen Receptor Activity,Molecular Function
C0032995,Unwanted Pregnancy,Finding
C0009407,Colorimetry,Laboratory Procedure
C0013343,Dyes,Indicator; Reagent; or Diagnostic Aid
C1149837,Lipoprotein Lipase Activity,Molecular Function
C1657587,Dopamine Uptake,Cell Function
C3179198,Narcotic Effect,Physiologic Function
C0005778,Blood Coagulation,Organ or Tissue Function
C0033975,Psychotic Disorders,Mental or Behavioral Dysfunction
C1153450,Potassium Channel Activity,Molecular Function
C0242901,Glycine Agents,Pharmacologic Substance
C1152765,A3 Adenosine Receptor Activity; G-Protein Coupled,Molecular Function
C1150388,Dna Topoisomerase I Activity,Genetic Function
C2259385,Matrix Metalloproteinase-1 Activity,Molecular Function
C1149595,Complement Activity,Molecular Function
C1314973,Response To Antigens,Clinical Attribute
C0014018,Emulsifying Agents,Substance
C0031318,Pharmaceutic Aids,Chemical Viewed Functionally
C0025007,Measles,Disease or Syndrome
C0025303,Meningococcal Infections,Disease or Syndrome
C0030756,Lice Infestations,Disease or Syndrome
C0003047,Animal Diseases,Disease or Syndrome
C0011603,Dermatitis,Disease or Syndrome
C0033774,Pruritus,Sign or Symptom
C3179192,Miotic Effect,Physiologic Function
C0679466,Cognitive Deficits,Mental or Behavioral Dysfunction
C3179395,Sympatholytic Effect,Physiologic Function
C2258685,Angiotensin Converting Enzyme Activity,Molecular Function
C0027498,Nausea And Vomiting,Sign or Symptom
C2243553,Nucleoside Triphosphate Phosphohydrolase Activity,Molecular Function
C1148613,Iron Ion Binding,Molecular Function
C0597295,Protein Biosynthesis,Molecular Function
C0342917,Deficiency Of Micronutrients,Pathologic Function
C1510471,Vitamin Deficiency,Disease or Syndrome
C0406206,Ultraviolet-Induced Change In Normal Skin,Injury or Poisoning
C1154743,Response To Xenobiotic Stimulus,Organism Function
C0005516,Biological Markers,Clinical Attribute
C1999216,Inhibitor,Qualitative Concept
C0002170,Alopecia,Finding
C0025521,Inborn Errors Of Metabolism,Congenital Abnormality
C0028715,Nutritional And Metabolic Diseases,Disease or Syndrome
C0042850,Vitamin B Deficiency,Disease or Syndrome
C1152805,N-Methyl-D-Aspartate Selective Glutamate Receptor Activity,Molecular Function
C0001516,Adhesives,Manufactured Object
C1150819,Arginine Decarboxylase Activity,Molecular Function
C2363741,Hiv-1 Infection,Disease or Syndrome
C2262029,Triglyceride Lipase Activity,Molecular Function
C0028910,Oils; Volatile,Organic Chemical
C2612890,Cholesterol O-Acyltransferase Activity,Molecular Function
C0026918,Mycobacterium Infections,Disease or Syndrome
C0037638,Solvents,Indicator; Reagent; or Diagnostic Aid
C1152196,Purine-Nucleoside Phosphorylase Activity,Molecular Function
C0053396,Beta Carotene,Pharmacologic Substance
C0002888,Anemia; Megaloblastic,Disease or Syndrome
C0016412,Folic Acid Deficiency,Disease or Syndrome
C0027794,Neural Tube Defects,Finding
C2609180,Product Contamination Microbial,Finding
C3159140,Interferon Production,Organism Function
C3179264,Progestin Effect,Physiologic Function
C0022108,Irritants,Hazardous or Poisonous Substance
C0035644,Riots,Social Behavior
,<No Term>,
NA10002,Chelating Agents,Pharmacologic Substance
NA10003,Iron Chelating Activity [Moa],Molecular Function
NA10004,Carcinogenesis,Neoplastic Process
NA10005,Poisoning By And Exposure To Noxious Substances; Undetermined Intent,Injury or Poisoning
C0037083,Signal Transduction,Cell Function
C0011570,Mental Depression,Mental or Behavioral Dysfunction
C1148671,Gaba-B Receptor Activity,Molecular Function
C1149513,Pheromone Activity,Molecular Function
C0232910,Teratogenesis,Pathologic Function
C1149063,Cytochrome P450 Activity,Molecular Function
C2257266,Poly(Adp-Ribose)Polymerase Activity,Molecular Function
C0020550,Hyperthyroidism,Disease or Syndrome
C0182638,Radiopharmaceuticals,Pharmacologic Substance
C1149145,Mu-Opioid Receptor Activity,Molecular Function
C3179159,Sedative Effect,Physiologic Function
C1150607,Protein Tyrosine Kinase Activity,Molecular Function
C0221171,Hypnotic State,Mental Process
C0011991,Diarrhea,Sign or Symptom
C1154563,Response To Auxin Stimulus,Cell Function
C0048332,4-Hydroxybutyric Acid Receptor,Receptor
C3266896,Apoptosis Induction,Cell Function
C1149629,Histone Deacetylase Activity,Molecular Function
C0178555,Chemical Cofactor,Biologically Active Substance
C0037864,Spermatogenesis,Cell Function
C0020517,Hypersensitivity,Pathologic Function
C0023281,Leishmaniasis,Disease or Syndrome
C1152763,A2A Adenosine Receptor Activity; G-Protein Coupled,Molecular Function
C2257685,Alditol:Nadp+ 1-Oxidoreductase Activity,Molecular Function
C1752930,Mitogenic Activity,Cell Function
C0021568,Insect Bites And Stings,Injury or Poisoning
C0162119,Hemoglobin Low,Finding
C3271972,Cytokinin Binding,Molecular Function
C0026392,Molluscacides,Hazardous or Poisonous Substance
C0013384,Dyskinetic Syndrome,Disease or Syndrome
C0030567,Parkinson Disease,Disease or Syndrome
C0001552,Pharmaceutical Adjuvants,Chemical Viewed Functionally
C0740903,Allergic Symptom,Sign or Symptom
C0238614,Exposure To Allergen,Finding
C0020523,Immediate Hypersensitivity,Pathologic Function
C0151908,Dry Skin,Sign or Symptom
C0013390,Dysmenorrhea,Pathologic Function
C0013395,Dyspepsia,Sign or Symptom
C0600142,Hot Flushes,Sign or Symptom
C0020619,Hypogonadism,Disease or Syndrome
C0025322,Premature Menopause,Disease or Syndrome
C0011156,Deficiency Diseases,Disease or Syndrome
C3468250,Bowel Evacuation Complete,Finding
C0009806,Constipation,Sign or Symptom
C0980441,Suppository Base,Biomedical or Dental Material
C0010200,Coughing,Sign or Symptom
C2917436,Non-Narcotic Antitussive,Pharmacologic Substance
C0015967,Fever,Finding
C0010068,Coronary Heart Disease,Disease or Syndrome
C1706253,Binder Excipient,Biomedical or Dental Material
C0015237,Pharmaceutical Excipient,Biomedical or Dental Material
C1955321,Male Fertility,Clinical Attribute
C1705511,Flavor Excipient,Biomedical or Dental Material
C0042444,Drug Vehicle,Biomedical or Dental Material
C0850149,Dry Cough,Sign or Symptom
C2599681,Calorie Intake,Clinical Attribute
C1457887,Symptoms,Sign or Symptom
C1321580,Trichobezoar Disorder,Disease or Syndrome
C0042963,Vomiting,Sign or Symptom
C1400591,Local; Infection,Disease or Syndrome
C0033038,Premature Ejaculation,Mental or Behavioral Dysfunction
C0020621,Hypokalemia,Finding
C0028754,Obesity,Disease or Syndrome
C0426584,Excessive Appetite,Finding
C0358514,Diagnostic Agents,Indicator; Reagent; or Diagnostic Aid
C0232741,Liver Function,Organ or Tissue Function
C0376446,Reducing Agents,Indicator; Reagent; or Diagnostic Aid
C0041296,Tuberculosis,Disease or Syndrome
C0311375,Arsenic Poisoning,Injury or Poisoning
C0013221,Drug Toxicity,Injury or Poisoning
C0040262,Tinea Versicolor,Disease or Syndrome
C0238080,Toxic Effect Of Cyanide,Injury or Poisoning
C0016198,Flame Retardants,Chemical Viewed Functionally
C0001175,Acquired Immunodeficiency Syndrome,Disease or Syndrome
C0243026,Systemic Infection,Disease or Syndrome
C1373111,Nucleoside Reverse Transcriptase Inhibitors,Genetic Function
C1158580,Nucleoside Metabolic Process,Molecular Function
C0027697,Nephritis,Disease or Syndrome
C0024141,Lupus Erythematosus; Systemic,Disease or Syndrome
C1149084,Steroid 17-Alpha-Hydroxylase-C17-20 Lyase Activity,Molecular Function
C0278838,Prostate Cancer Recurrent,Neoplastic Process
C1152701,Leukotriene Receptor Activity,Molecular Function
C0085762,Alcohol Abuse,Mental or Behavioral Dysfunction
C0001973,Alcoholic Intoxication; Chronic,Mental or Behavioral Dysfunction
C0877014,Sympathomimetic Effect,Finding
C0340464,Premature Cardiac Complex,Pathologic Function
C0151636,Premature Ventricular Contractions,Pathologic Function
C0085612,Ventricular Arrhythmia,Pathologic Function
C0027045,Myocardial Contraction,Organ or Tissue Function
C0014553,Absence Epilepsy,Disease or Syndrome
C0154946,Acute Angle-Closure Glaucoma,Disease or Syndrome
C0270822,Centrencephalic Epilepsy,Disease or Syndrome
C0018802,Congestive Heart Failure,Disease or Syndrome
C0013604,Edema,Pathologic Function
C0234708,Raised Intraocular Pressure,Finding
C0339573,Glaucoma; Primary Open Angle,Disease or Syndrome
C0149893,Secondary Glaucoma,Disease or Syndrome
C0023343,Leprosy,Disease or Syndrome
C0086543,Cataract,Anatomical Abnormality
C0022078,Iris Diseases,Disease or Syndrome
C0010034,Corneal Diseases,Disease or Syndrome
C0431443,Other Specified Anterior Segment Anomalies,Congenital Abnormality
C0024117,Chronic Obstructive Airway Disease,Disease or Syndrome
C0267167,Nonulcer Dyspepsia,Finding
C0015397,Disorder Of Eye,Molecular Function
C1152726,Beta Adrenoceptor Activity,Molecular Function
C0151905,Alanine Aminotransferase Increased,Finding
C0151904,Aspartate Transaminase Levels Raised (Plasma Or Serum),Finding
C0744831,Hepatitis B Chronic Active,Disease or Syndrome
C0242297,Dietary Supplementation,Therapeutic or Preventive Procedure
C0237349,Unbalanced Diet,Finding
C0162429,Malnutrition,Disease or Syndrome
C1152732,Dopamine D1 Receptor Activity,Molecular Function
C0017205,Gaucher Disease,Disease or Syndrome
C0007894,Cestode Infections,Disease or Syndrome
C0421207,Airways Obstruction Reversible,Finding
C0006266,Bronchial Spasm,Disease or Syndrome
C0015263,Bronchospasm; Exercise-Induced,Disease or Syndrome
C0600260,Lung Diseases; Obstructive,Disease or Syndrome
C1622203,Corticosteroid Receptor Signaling Pathway,Molecular Function
C1148777,Glucocorticoid Receptor Activity,Molecular Function
C0033860,Psoriasis,Disease or Syndrome
C2064827,Topical Steroids,Pharmacologic Substance
C2755483,Relaxation Of Skeletal Muscle,Physiologic Function
C0005974,Bone Resorption,Organ or Tissue Function
C0596204,Bone Metabolism,Organ or Tissue Function
C0012544,Diphosphonates,Pharmacologic Substance
C0029456,Osteoporosis,Disease or Syndrome
C1704272,Benign Prostatic Hyperplasia,Neoplastic Process
C0042075,Urologic Diseases,Disease or Syndrome
C0006434,Burn Injury,Injury or Poisoning
C0849640,Skin Damage,Sign or Symptom
C0043250,Injury Wounds,Injury or Poisoning
C0038959,Suspending Agents,Biomedical or Dental Material
C0041981,Increased Uric Acid Level,Finding
C0023418,Leukemia,Neoplastic Process
C0024299,Lymphoma,Neoplastic Process
C1698088,Malignant Solid Tumor,Neoplastic Process
C0085533,Chemotherapy; Adjuvant,Therapeutic or Preventive Procedure
C0235063,Respiratory Depression,Pathologic Function
C0149931,Migraine Disorders,Disease or Syndrome
C0011860,Diabetes Mellitus; Non-Insulin-Dependent,Disease or Syndrome
C0017601,Glaucoma,Disease or Syndrome
C0151713,Hyperchlorhydria,Pathologic Function
C0029878,Otitis Externa,Disease or Syndrome
C0013295,Duodenal Ulcer,Disease or Syndrome
C0014869,Peptic Esophagitis,Disease or Syndrome
C0017168,Gastroesophageal Reflux Disease,Disease or Syndrome
C0017181,Gastrointestinal Hemorrhage,Pathologic Function
C0018834,Heartburn,Sign or Symptom
C0022661,Kidney Failure; Chronic,Disease or Syndrome
C0038358,Gastric Ulcer,Disease or Syndrome
C3160770,Minor Bleed,Pathologic Function
C0011334,Dental Caries,Disease or Syndrome
C0038990,Sweating,Finding
C0020458,Hyperhidrosis Disorder,Finding
C0235304,Acid Indigestion,Pathologic Function
C0304542,Calcium Antacid,Pharmacologic Substance
C0684199,Homeopathy,Therapeutic or Preventive Procedure
C0580182,Hyperhidrosis Of Axilla,Finding
C0770524,Aluminum Subacetate,Pharmacologic Substance
C0686765,Unpleasant Odor Of Axilla,Sign or Symptom
C0037763,Spasm,Sign or Symptom
C0376545,Hematologic Neoplasms,Neoplastic Process
C0280100,Solid Tumor,Neoplastic Process
C0026896,Myasthenia Gravis,Disease or Syndrome
C0042029,Urinary Tract Infection,Disease or Syndrome
C0022658,Kidney Diseases,Disease or Syndrome
C0282002,Superficial Infection,Disease or Syndrome
C0206087,Renal Plasma Flow,Laboratory or Test Result
C0678876,Renal Tubular Secretion,Organ or Tissue Function
C0232804,Renal Function,Organ or Tissue Function
C0022602,Actinic Keratosis,Neoplastic Process
C0031740,Photochemotherapy,Therapeutic or Preventive Procedure
C0011573,Endogenous Depression,Mental or Behavioral Dysfunction
C0002962,Angina Pectoris,Sign or Symptom
C0002607,Ammonia,Pharmacologic Substance
C0085680,Hypochloremia,Disease or Syndrome
C0220983,Metabolic Alkalosis,Disease or Syndrome
C0043065,Water-Electrolyte Imbalance,Pathologic Function
C0597631,Urine Acidity,Clinical Attribute
C0022593,Keratosis,Disease or Syndrome
C1969290,Dry; Scaly Skin,Finding
C0079584,Ichthyosis Vulgaris,Congenital Abnormality
C0259817,Xerosis,Disease or Syndrome
C0015919,Fertilizers,Manufactured Object
C0280449,Secondary Acute Myeloid Leukemia,Neoplastic Process
C1151129,Squalene Monooxygenase Activity,Molecular Function
C0392386,Decreased Platelet Count,Finding
C0398665,Infection After Transfusion,Pathologic Function
C0033858,Psoralens,Pharmacologic Substance
C1393501,Transfusion; Complications; Infection,Pathologic Function
C0598196,Microbial Disease,Disease or Syndrome
C0521989,Associated Symptom,Sign or Symptom
C0027022,Myeloproliferative Disease,Neoplastic Process
C0836924,Thrombocytosis,Disease or Syndrome
C1336741,Thrombohemorrhagic Event,Disease or Syndrome
C0040053,Thrombosis,Pathologic Function
C1735617,Anorexia Post Chemotherapy,Sign or Symptom
C1391732,Cancer Cachexia,Neoplastic Process
C0005850,Blood Volume,Organism Attribute
C0007165,Cardiac Output,Clinical Attribute
C0027686,Pathologic Neovascularization,Pathologic Function
C0239134,Productive Cough,Sign or Symptom
C0043037,Common Wart,Disease or Syndrome
C0391852,Hypomobility,Finding
C0679246,Advanced Disease,Finding
C3178735,Emetic Effect,Physiologic Function
C1299561,Argon Laser Iridotomy,Therapeutic or Preventive Procedure
C1319234,Argon Laser Trabeculoplasty,Therapeutic or Preventive Procedure
C0032787,Postoperative Complications,Pathologic Function
C0023308,Lens Diseases,Disease or Syndrome
C1153468,Excitatory Extracellular Ligand-Gated Ion Channel Activity,Molecular Function
C0038454,Cerebrovascular Accident,Disease or Syndrome
C0876926,Traumatic Brain Injury,Injury or Poisoning
C0581358,Gastric Spasm (Disorder),Sign or Symptom
C0014863,Esophageal Spasm,Disease or Syndrome
C0008677,Bronchitis; Chronic,Disease or Syndrome
C0079043,Bronchoconstriction,Organ or Tissue Function
C0034067,Pulmonary Emphysema,Disease or Syndrome
C0597829,Ammonia Poisoning,Injury or Poisoning
C1753283,Growth Hormone Activity,Molecular Function
C0598309,Genotoxicity,Cell or Molecular Dysfunction
C0023487,Acute Promyelocytic Leukemia,Neoplastic Process
C0040715,Chromosomal Translocation,Cell or Molecular Dysfunction
C0016479,Food Poisoning,Injury or Poisoning
C1709412,Pml/Rara Fusion Protein,Amino Acid; Peptide; or Protein
C0017262,Gene Expression,Genetic Function
C0277556,Recurrent Disease,Disease or Syndrome
C0006142,Malignant Neoplasm Of Breast,Neoplastic Process
C0003969,Ascorbic Acid Deficiency,Disease or Syndrome
C0002871,Anemia,Disease or Syndrome
C0036474,Scurvy,Disease or Syndrome
C0003864,Arthritis,Disease or Syndrome
C2248143,Hmg-Coa Reductase Activity,Molecular Function
C0026836,Muscle Relaxation Phase,Organ or Tissue Function
C0021932,Intubation; Intratracheal,Therapeutic or Preventive Procedure
C0035213,Pulmonary Ventilation,Laboratory or Test Result
C0543467,Operative Surgical Procedures,Diagnostic Procedure
C2930408,Neuromuscular Blockade [Pe],Organ or Tissue Function
C0151825,Bone Pain,Sign or Symptom
C0596240,Cancer Pain,Sign or Symptom
C1739135,Progression Of Prostate Cancer,Neoplastic Process
C1149115,Endothelin Receptor-A Activity,Molecular Function
C0936223,Prostate Cancer Metastatic,Neoplastic Process
C0271105,Acute Iritis,Disease or Syndrome
C1735373,Acute Uveitis,Disease or Syndrome
C0235238,Cycloplegia,Disease or Syndrome
C0855713,Cycloplegic Refraction,Diagnostic Procedure
C0026961,Mydriasis,Sign or Symptom
C1371463,Coronary Arterial Vasodilation [Pe],Organ or Tissue Function
C1151570,Arachidonate 5-Lipoxygenase Activity,Molecular Function
C0009766,Allergic Conjunctivitis,Disease or Syndrome
C0018621,Hay Fever,Disease or Syndrome
C0022281,Itching Of Eye,Finding
C0027424,Nasal Congestion (Finding),Sign or Symptom
C0850060,Nasal Itching,Sign or Symptom
C0032781,Posterior Rhinorrhea,Sign or Symptom
C0035460,Rhinitis; Vasomotor,Disease or Syndrome
C1260880,Rhinorrhea,Sign or Symptom
C0037383,Sneezing,Finding
C0028432,Nose Diseases,Disease or Syndrome
C0015330,Explosive Device,Manufactured Object
C1149106,Angiotensin Receptor Activity,Molecular Function
C0027868,Neuromuscular Diseases,Disease or Syndrome
C1302752,Abrasion,Injury or Poisoning
C0000925,Incised Wound,Injury or Poisoning
C0332673,Minor Injury,Injury or Poisoning
C0009768,Bacterial Conjunctivitis,Disease or Syndrome
C0149778,Soft Tissue Infections,Disease or Syndrome
C0038166,Staphylococcal Skin Infections,Disease or Syndrome
C0043241,Wound Infection,Pathologic Function
C0011311,Dengue Fever,Disease or Syndrome
C1535950,Gastrointestinal Inflammation,Disease or Syndrome
C1149827,Acetylcholinesterase Activity,Molecular Function
C0011135,Defecation,Organism Function
C0341268,Disorder Of Small Intestine,Disease or Syndrome
C0038354,Stomach Diseases,Disease or Syndrome
C0014852,Esophageal Diseases,Disease or Syndrome
C2930749,Radiographic Contrast Media,Indicator; Reagent; or Diagnostic Aid
C2250396,Atp Synthase Activity,Molecular Function
C0151526,Premature Birth,Pathologic Function
C0022876,Premature Obstetric Labor,Pathologic Function
C1328356,Positive Cardiac Inotropic Effect,Finding
C1150820,Dopa Decarboxylase Activity,Molecular Function
C0009443,Common Cold,Disease or Syndrome
C0019342,Genital Herpes,Disease or Syndrome
C0019345,Herpes Labialis,Disease or Syndrome
C1706307,Irritation (Finding),Finding
C0242429,Sore Throat,Sign or Symptom
C0036262,Scabies,Disease or Syndrome
C2092213,Dimercaprol Injection,Pharmacologic Substance
C0083013,Insect Attractants,Biologically Active Substance
C0018681,Headache,Sign or Symptom
C0220994,Hyperammonemia,Pathologic Function
C1281429,Exogenous Obesity,Disease or Syndrome
C0497406,Overweight,Sign or Symptom
C0015371,Extrapyramidal Disorders,Disease or Syndrome
C0242422,Parkinsonian Disorders,Disease or Syndrome
C0747422,Penicillin Sensitivity,Disease or Syndrome
C0002395,Alzheimer'S Disease,Disease or Syndrome
C0740464,Electrolytes Nos Decreased,Finding
C0857070,Chronic Open Angle Glaucoma,Disease or Syndrome
C0028840,Ocular Hypertension,Disease or Syndrome
C0005697,Neurogenic Urinary Bladder,Disease or Syndrome
C0080274,Urinary Retention,Finding
C0002438,Amebiasis,Disease or Syndrome
C0021564,Insect Bites,Injury or Poisoning
C0162451,Poison Ivy Dermatitis,Disease or Syndrome
C1456686,Poison Ivy; Oak And Sumac,Injury or Poisoning
C0152030,Skin Irritation,Sign or Symptom
C0860277,Sour Stomach,Sign or Symptom
C0235309,Upset Stomach,Sign or Symptom
C0238762,Bicarbonate Decreased,Finding
C0018790,Cardiac Arrest,Disease or Syndrome
C1392658,Circulatory Insufficiency,Finding
C3472181,Severe Dehydration,Disease or Syndrome
C0421258,Diabetic - Poor Control,Finding
C0749125,Drug Intoxication,Finding
C0005775,Blood Circulation,Physiologic Function
